dataset,row_id,full_question,final_ground_truth,hop_questions,hop_ground_truths,hop_responses
musique,2hop__102217_90963,When did the British Empire take over the country of citizenship of Raphael Tuju?,1895,"[""Of which country is Raphael Tuju a citizen?"", ""when did the british empire take over Kenya""]","[""Kenya"", ""1895""]","[""Kenya"", ""1895-1919""]"
musique,2hop__103659_90963,When did the British Empire take over the country where Peter Koech was born?,1895,"[""What was Peter Koech birth country?"", ""when did the british empire take over Kenya""]","[""Kenya"", ""1895""]","[""Kenya"", ""1895-1919""]"
musique,2hop__107017_159106,In what year was the unification of the country that eats Nasi kerabu?,1963,"[""Which was the country for Nasi kerabu?"", ""In what year did the unification of Malaysia happen?""]","[""Malaysia"", ""1963""]","[""Malaysia"", ""1963""]"
musique,2hop__413855_159106,In what year was the unification of the country where the state of Perlis can be found?,1963,"[""Perlis >> country"", ""In what year did the unification of Malaysia happen?""]","[""Malaysia"", ""1963""]","[""Malaysia"", ""1963""]"
musique,2hop__15659_92427,Where are the San Juan Mountains in the US state whose governor was Toney Anaya?,northwestern New Mexico,"[""Of what state was Toney Anaya governor?"", ""where are the san juan mountains in New Mexico""]","[""New Mexico"", ""northwestern New Mexico""]","[""New Mexico"", ""The San Juan Mountains are located in southwestern Colorado and northwestern New Mexico.""]"
musique,2hop__129320_92427,Where are the San Juan mountains in the state which also contains the Jemez River?,northwestern New Mexico,"[""In which state is Jemez River located?"", ""where are the san juan mountains in New Mexico""]","[""New Mexico"", ""northwestern New Mexico""]","[""New Mexico"", ""The San Juan Mountains are located in southwestern Colorado and northwestern New Mexico.""]"
musique,2hop__129529_92427,Where are the San Juan mountains in the state where Raton Municipal Airport is located?,northwestern New Mexico,"[""In which state is Raton Municipal Airport located?"", ""where are the san juan mountains in New Mexico""]","[""New Mexico"", ""northwestern New Mexico""]","[""New Mexico"", ""The San Juan Mountains are located in southwestern Colorado and northwestern New Mexico.""]"
musique,2hop__131638_92427,Where are the San Juan Mountains in the state where Piedra Vista High School is located?,northwestern New Mexico,"[""Which state is Piedra Vista High School located?"", ""where are the san juan mountains in New Mexico""]","[""New Mexico"", ""northwestern New Mexico""]","[""New Mexico"", ""The San Juan Mountains are located in southwestern Colorado and northwestern New Mexico.""]"
musique,2hop__206080_69291,When did the country of citizenship of Tony Laureano become independent from Spain?,1898,"[""Tony Laureano >> country of citizenship"", ""when did Puerto Rico became independent from spain""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 15, 1898""]"
musique,2hop__33326_54206,When did the territory that has been suggested as a new addition to the US become an American territory?,1898,"[""What territory has been suggested as a new addition to the United States?"", ""when did Puerto Rico became an american territory""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""1898""]"
musique,2hop__33326_65151,When was the place now discussed as a potential 51st state made a us territory?,1898,"[""What territory has been suggested as a new addition to the United States?"", ""when was Puerto Rico declared a us territory""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 1, 1898""]"
musique,2hop__161414_54206,When did the island and US territory that the creature can be found in become an American territory?,1898,"[""What island and U.S territory can the creature be found in?"", ""when did Puerto Rico became an american territory""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""1898""]"
musique,2hop__161414_69291,when did the island and U.S territory where the creature can be found became independent from Spain?,1898,"[""What island and U.S territory can the creature be found in?"", ""when did Puerto Rico became independent from spain""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""1898""]"
musique,2hop__161414_65151,When was the territory having the creature declared a us territory?,1898,"[""What island and U.S territory can the creature be found in?"", ""when was Puerto Rico declared a us territory""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 1, 1898""]"
musique,2hop__161414_79217,"When was the island and U.S. territory where the Bronze mannikin is found, annexed by the United States?",1898,"[""What island and U.S territory can the creature be found in?"", ""when was Puerto Rico annexed by the united states""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 1, 1898""]"
musique,2hop__33326_79217,When was the territory suggested as a new addition to the U.S. annexed by the U.S.?,1898,"[""What territory has been suggested as a new addition to the United States?"", ""when was Puerto Rico annexed by the united states""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 1, 1898""]"
musique,2hop__33326_69291,When did the territory which has been suggested as a new state of the USA became independent from Spain?,1898,"[""What territory has been suggested as a new addition to the United States?"", ""when did Puerto Rico became independent from spain""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 2, 1898""]"
musique,2hop__161414_92821,When did the island where the Bronze mannikin is found become a part of the United States?,1898,"[""What island and U.S territory can the creature be found in?"", ""when did Puerto Rico became a part of the united states""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 1, 1898""]"
musique,2hop__33326_60641,When did Hurricane Maria make landfall in the territory that has been suggested as a new addition to the United States?,September 20,"[""What territory has been suggested as a new addition to the United States?"", ""when did hurricane maria make landfall in Puerto Rico""]","[""Puerto Rico"", ""September 20""]","[""Puerto Rico"", ""September 20, 1969""]"
musique,2hop__33326_65517,"In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States?",Hurricane Maria,"[""What territory has been suggested as a new addition to the United States?"", ""what was the name of the hurricane that hit Puerto Rico in 2017""]","[""Puerto Rico"", ""Hurricane Maria""]","[""Puerto Rico"", ""Hurricane Maria""]"
musique,2hop__161414_65517,Which hurricane hit the island and U.S. territory where the creature can be found in 2017?,Hurricane Maria,"[""What island and U.S territory can the creature be found in?"", ""what was the name of the hurricane that hit Puerto Rico in 2017""]","[""Puerto Rico"", ""Hurricane Maria""]","[""Puerto Rico"", ""Hurricane Maria""]"
musique,2hop__33326_92821,When did the territory that has been suggested as a new addition to the US become part of the United States?,1898,"[""What territory has been suggested as a new addition to the United States?"", ""when did Puerto Rico became a part of the united states""]","[""Puerto Rico"", ""1898""]","[""Puerto Rico"", ""March 1, 1898""]"
musique,2hop__161414_60641,When did hurricane Maria make landfall in the territory having Bronze mannikin?,September 20,"[""What island and U.S territory can the creature be found in?"", ""when did hurricane maria make landfall in Puerto Rico""]","[""Puerto Rico"", ""September 20""]","[""Puerto Rico"", ""September 20, 1969""]"
musique,2hop__152990_54580,When was the astronomical clock in the city that Lucie Hradecká calls home built?,1410,"[""What city is Lucie Hradecká from?"", ""when was the astronomical clock in Prague built""]","[""Prague"", ""1410""]","[""Prague"", ""The Astronomical Clock in Prague was built between 1410 and 1424.""]"
musique,2hop__144618_731592,The history of Jews in Karel Stibor's birthplace is an instance of what?,Jewish,"[""What is the birthplace of Karel Stibor?"", ""History of the Jews in Prague >> instance of""]","[""Prague"", ""Jewish""]","[""Prague"", ""The first recorded Jewish presence in Prague dates back to 907 AD.""]"
musique,2hop__145030_54580,When was the astronomical clock in Jan Klapáč's birth city built?,1410,"[""What was Jan Klapáč's city of birth?"", ""when was the astronomical clock in Prague built""]","[""Prague"", ""1410""]","[""Prague"", ""The astronomical clock in Prague was built between 1410 and 1424.""]"
musique,2hop__152961_54580,When did they build the astronomical clock in the city Jaroslav Drobný is from?,1410,"[""What city is Jaroslav Drobný from?"", ""when was the astronomical clock in Prague built""]","[""Prague"", ""1410""]","[""Prague"", ""The astronomical clock in Prague was built between 1410 and 1424.""]"
musique,2hop__146089_54580,When was the astronomical clock in the city Kamil Lhoták died built?,1410,"[""In what city did Kamil Lhoták die?"", ""when was the astronomical clock in Prague built""]","[""Prague"", ""1410""]","[""Prague"", ""The astronomical clock in Prague was built between 1410 and 1424.""]"
musique,2hop__67233_374419,Who owns numbered highways in the state where Uncle Tom's Cabin takes place?,Kentucky Transportation Cabinet,"[""where does uncle tom's cabin take place"", ""numbered highways in Kentucky >> owned by""]","[""Kentucky"", ""Kentucky Transportation Cabinet""]","[""Kentucky."", ""1. The Kentucky Transportation Cabinet\n2. The Kentucky Department of Highways\n3. The Kentucky Transportation Infrastructure Fund\n4. The Kentucky Transportation Trust Fund""]"
musique,2hop__130463_51268,When did the state Aims Community College is located become part of the United States?,"August 1, 1876","[""What state is Aims Community College located?"", ""when did Colorado become part of the united states""]","[""Colorado"", ""August 1, 1876""]","[""Colorado"", ""August 1, 1876""]"
musique,2hop__673662_47824,Where is the blue mosque located in the country where Boğaziçi can be found?,Istanbul,"[""Boğaziçi >> country"", ""where is the blue mosque located in Turkey""]","[""Turkey"", ""Istanbul""]","[""Turkey"", ""Istanbul.""]"
musique,2hop__501319_47824,Where is the Blue Mosque located in the country where the village of Başalan is found?,Istanbul,"[""Başalan >> country"", ""where is the blue mosque located in Turkey""]","[""Turkey"", ""Istanbul""]","[""Turkey"", ""Istanbul.""]"
musique,2hop__3365_84128,How long is a governor's term in the state where Taylor Hicks comes from?,Four years,"[""Where is Taylor Hicks from?"", ""how long is a governor's term in Alabama""]","[""Alabama"", ""Four years""]","[""Alabama"", ""Four years.""]"
musique,2hop__3365_70019,What is the highest point in the state where Taylor Hicks comes from?,Cheaha Mountain,"[""Where is Taylor Hicks from?"", ""what is the highest point in the state of Alabama""]","[""Alabama"", ""Cheaha Mountain""]","[""Alabama"", ""Cheaha Mountain""]"
musique,2hop__136744_70019,"What's the highest part of the state where Selma, Lord, Selma was filmed?",Cheaha Mountain,"[""Which place is Selma, Lord, Selma in?"", ""what is the highest point in the state of Alabama""]","[""Alabama"", ""Cheaha Mountain""]","[""Selma, Alabama."", ""Cheaha Mountain""]"
musique,2hop__136744_84128,"How long is a governor's term in the state where Selma, Lord, Selma takes place?",Four years,"[""Which place is Selma, Lord, Selma in?"", ""how long is a governor's term in Alabama""]","[""Alabama"", ""Four years""]","[""Selma, Alabama."", ""Four years.""]"
musique,2hop__384961_20644,What race is the majority of Yale-NUS's country's population?,Chinese,"[""Yale-NUS >> country"", ""What race was the majority of Singapore 's population?""]","[""Singapore"", ""Chinese""]","[""Singapore"", ""Chinese""]"
musique,2hop__832636_43178,Who was the first prime minister of the country Sentosa Cove is located?,Lee Kuan Yew,"[""Sentosa Cove >> country"", ""who is the first prime minister of Singapore""]","[""Singapore"", ""Lee Kuan Yew""]","[""Singapore"", ""Lee Kuan Yew""]"
musique,2hop__106647_43178,Who was the first prime minister of the country that released Kaya toast?,Lee Kuan Yew,"[""What country released Kaya toast?"", ""who is the first prime minister of Singapore""]","[""Singapore"", ""Lee Kuan Yew""]","[""Singapore"", ""Lee Kuan Yew""]"
musique,2hop__244456_43178,Who was the first prime minister of the country Potong Pasir is located?,Lee Kuan Yew,"[""Potong Pasir >> country"", ""who is the first prime minister of Singapore""]","[""Singapore"", ""Lee Kuan Yew""]","[""Singapore"", ""Lee Kuan Yew""]"
musique,2hop__106999_159597,What language do the majority of people in the country where Mieskuoro Huutajat was formed speak?,Finnish,"[""Which was the country for Mieskuoro Huutajat?"", ""What language do the majority of the people in Finland speak?""]","[""Finland"", ""Finnish""]","[""Finland"", ""Finnish""]"
musique,2hop__106299_159597,What language do the majority of the people in the country Nightwish is from speak?,Finnish,"[""What country released Nightwish?"", ""What language do the majority of the people in Finland speak?""]","[""Finland"", ""Finnish""]","[""Finland"", ""Finnish""]"
musique,2hop__130736_64652,Who is the Democratic gubernatorial candidate in the state where KFDI-FM is located?,Laura Kelly,"[""What state is KFDI-FM located?"", ""who are the democratic candidates running for governor in Kansas""]","[""Kansas"", ""Laura Kelly""]","[""Kansas City, Missouri"", ""As of my knowledge cutoff in March 2023, the Democratic candidates running for governor in Kansas were:\n\n1. Paul Haley\n2. John Hickenlooper\n3. Laura Kelly""]"
musique,2hop__91724_64652,Who is the Democratic gubernatorial candidate in the state Dorothy is from in The Wizard of Oz,Laura Kelly,"[""where did dorothy from the wizard of oz live"", ""who are the democratic candidates running for governor in Kansas""]","[""Kansas"", ""Laura Kelly""]","[""Toto's home was in Kansas."", ""As of my knowledge cutoff in March 2023, the Democratic candidates running for governor in Kansas were:\n\n1. Laura Kelly\n2. John Hickenlooper\n3. Paul Ryan""]"
musique,2hop__60386_64652,Who are the Democratic candidates running for governor in the state Dorothy form Wizard of Oz lived?,Laura Kelly,"[""where did dorothy from wizard of oz live"", ""who are the democratic candidates running for governor in Kansas""]","[""Kansas"", ""Laura Kelly""]","[""Toto's home was in Kansas."", ""As of my knowledge cutoff in March 2023, the Democratic candidates running for governor in Kansas were:\n\n1. John Hickenlooper\n2. Laura Kelly""]"
musique,2hop__4196_79233,When was the city Internet Archive is headquartered founded?,"June 29, 1776","[""Where is Internet Archive headquartered?"", ""when was the city of San Francisco founded""]","[""San Francisco"", ""June 29, 1776""]","[""San Francisco, California"", ""June 29, 1776""]"
musique,2hop__4196_91206,What is the pyramid building in the city where the Internet Archive is headquartered?,Transamerica Pyramid,"[""Where is Internet Archive headquartered?"", ""what is the pyramid building in San Francisco""]","[""San Francisco"", ""Transamerica Pyramid""]","[""San Francisco, California"", ""The Transamerica Pyramid.""]"
musique,2hop__228063_79233,When was Coinbase's headquarters location founded?,"June 29, 1776","[""Coinbase >> headquarters location"", ""when was the city of San Francisco founded""]","[""San Francisco"", ""June 29, 1776""]","[""San Francisco, California"", ""June 29, 1776""]"
musique,2hop__12247_79233,When was the city where the RSA Security Conference held founded?,"June 29, 1776","[""Where was the RSA Security Conference held?"", ""when was the city of San Francisco founded""]","[""San Francisco"", ""June 29, 1776""]","[""San Francisco, California"", ""June 29, 1776""]"
musique,2hop__13254_79233,When was the city where the band Blue Cheer was from founded?,"June 29, 1776","[""Where was the band Blue Cheer from?"", ""when was the city of San Francisco founded""]","[""San Francisco"", ""June 29, 1776""]","[""San Francisco, California"", ""June 29, 1776""]"
musique,2hop__12247_91206,What's the name of the famous triangular building in the city that hosts the RCA Security Conference?,Transamerica Pyramid,"[""Where was the RSA Security Conference held?"", ""what is the pyramid building in San Francisco""]","[""San Francisco"", ""Transamerica Pyramid""]","[""San Francisco, California"", ""The Transamerica Pyramid.""]"
musique,2hop__781680_91206,What is the pyramid building in Joseph Alioto's birthplace?,Transamerica Pyramid,"[""Joseph Alioto >> place of birth"", ""what is the pyramid building in San Francisco""]","[""San Francisco"", ""Transamerica Pyramid""]","[""San Francisco"", ""The Transamerica Pyramid.""]"
musique,2hop__253688_79233,When was the city where the magazine California Lawyer is headquartered founded?,"June 29, 1776","[""California Lawyer >> headquarters location"", ""when was the city of San Francisco founded""]","[""San Francisco"", ""June 29, 1776""]","[""San Francisco"", ""June 29, 1776""]"
musique,2hop__63527_79233,When was the city where Joy Luck Club takes place founded?,"June 29, 1776","[""where did the joy luck club take place"", ""when was the city of San Francisco founded""]","[""San Francisco"", ""June 29, 1776""]","[""The Joy Luck Club took place in San Francisco and New York City."", ""June 29, 1776""]"
musique,2hop__1345_785147,Where is the headquarters of the social media site which was used for complaining about the Indian censoring located?,San Francisco,"[""Which social media site was used for complaining about the Indian censoring?"", ""Twitter. >> headquarters location""]","[""Twitter."", ""San Francisco""]","[""Twitter"", ""San Francisco, California""]"
musique,2hop__130693_55098,What is the area code for Cincinnati in the state Hocking Hills is located?,513,"[""What state is Hocking Hills located?"", ""what is the area code for cincinnati Ohio""]","[""Ohio"", ""513""]","[""Ohio"", ""513""]"
musique,2hop__129156_55098,"What is the area code for Cincinnati, in the state that has the Cleveland Metroparks Zoo?",513,"[""In which state is Cleveland Metroparks Zoo located?"", ""what is the area code for cincinnati Ohio""]","[""Ohio"", ""513""]","[""Ohio"", ""513""]"
musique,2hop__71102_52375,What institution is established for management of development in one of the richest countries in Africa?,Nigerian Institute of Management,"[""which one is the richest country in africa"", ""institutions that are established for management development in Nigeria""]","[""Nigeria"", ""Nigerian Institute of Management""]","[""Nigeria"", ""1. Nigerian Institute of Management (NIM)\n2. Nigerian Institute of Public Administration (NIPA)\n3. Nigerian Institute of Chartered Accountants of Nigeria (NICAN)\n4. Nigerian Institute of Marketing (NIMC)\n5. Nigerian Institute of Journalism and Mass Communication (NIJMC)""]"
musique,2hop__107217_80243,What is the currency in the place where Drunken Master took place?,Hong Kong dollar,"[""Which was the country for Drunken Master?"", ""what is the currency in Hong Kong china""]","[""Hong Kong"", ""Hong Kong dollar""]","[""Hong Kong."", ""Hong Kong dollar (HKD)""]"
musique,2hop__757660_91469,When was the region where HKGolden50 is headquartered taken by the British?,1842,"[""HKGolden50 >> headquarters location"", ""when was Hong Kong taken by the british""]","[""Hong Kong"", ""1842""]","[""Hong Kong"", ""July 1, 1842""]"
musique,2hop__1835_94034,What airport is Jestar in the city with the most high-rise buildings in the world part of?,Hong Kong International Airport,"[""What city has the most high-rise buildings in the world?"", ""What airport is Jetstar Hong Kong part of?""]","[""Hong Kong"", ""Hong Kong International Airport""]","[""Hong Kong"", ""Hong Kong International Airport""]"
musique,3hop2__35882_160178_54090,The organization North Korea is a member of recognizes how many regions in the continent Buddhism spread?,53 member states,"[""Where did Buddhism spread?"", ""What was Norh Korea a member of?""]","[""Asia"", ""UN""]","[""India, China, and Southeast Asia."", ""The United Nations.""]"
musique,3hop2__35882_35260_54090,How many regions in the continent where Buddhism spread is recognized by the organization that mediated the truce which ended the Iran-Iraq War?,53 member states,"[""Where did Buddhism spread?"", ""Who mediated the truce which ended the Iran-Iraq War?""]","[""Asia"", ""the UN""]","[""India, China, Southeast Asia, and East Africa."", ""The United Nations Security Council.""]"
musique,3hop2__35882_27348_54090,"How many states in the continent where Buddhism spread are recognized by the organization that offered possible solutions Arab-Israeli conflict, which Nasser supported?",53 member states,"[""Where did Buddhism spread?"", ""What organization offered possible solutions Arab-Israeli conflict, which Nasser supported?""]","[""Asia"", ""UN""]","[""India, China, Southeast Asia, and East Africa."", ""The United Nations.""]"
musique,3hop2__35882_18393_54090,How many states on the continent where Buddhism spread are recognized by the organization that authorized giving troops the ability to follow the North Korean forces north?,53 member states,"[""Where did Buddhism spread?"", ""Who authorized giving troops the ability to follow the North Korean forces north?""]","[""Asia"", ""the UN""]","[""India, China, Southeast Asia, and parts of Africa."", ""The United States Joint Chiefs of Staff.""]"
musique,3hop2__855892_63595_53125,What agency in the country where United Utilities is based is the equivalent of the one that appoints the members of the public company accounting oversight board?,Financial Services Authority,"[""United Utilities >> country"", ""who appoints the members of the public company accounting oversight board quizlet""]","[""UK"", ""the SEC""]","[""United Utilities is a UK-based water and waste management company."", ""* The Securities and Exchange Commission (SEC)\n* The Public Company Accounting Oversight Board (PCAOB) is a private non-profit corporation\n* It is funded by member companies through fees paid by their auditors.""]"
musique,3hop2__162189_421553_73761,"Who claimed a homeland in parts of Turkey, the country Shiraz is in, and the country where the Dohuk Dam is located?",Kurdish people,"[""What nation is Shiraz in?"", ""Dohuk Dam >> country""]","[""Iran."", ""Iraq""]","[""Iran"", ""Iraq""]"
musique,3hop2__162189_44267_73761,"Who claimed a homeland in parts of turkey, the country who the US fought in desert storm and the nation Shiraz is in?",Kurdish people,"[""What nation is Shiraz in?"", ""who did the us fight in desert storm""]","[""Iran."", ""Iraq""]","[""Iran"", ""United States of America (US) and Iraq.""]"
musique,3hop2__89818_157704_4107,What term means an institution like a German Fachhochschule in the country where Antwerp is located and the country where Dutch is spoken?,hogeschool,"[""where are you from if you speak dutch"", ""Where is Antwerp located?""]","[""the Netherlands"", ""Belgium""]","[""Netherlands, Belgium, Suriname, Aruba, Curaçao, Sint Maarten, and other Caribbean islands."", ""Belgium""]"
musique,3hop2__89818_717222_4107,What term means an institution like a German Fachhochschule in the country where Meerbeke is located and the country where Dutch is spoken?,hogeschool,"[""where are you from if you speak dutch"", ""Meerbeke >> country""]","[""the Netherlands"", ""Belgium""]","[""Netherlands, Belgium, Suriname, Aruba, Curaçao, Sint Maarten, and other Caribbean islands."", ""Belgium""]"
musique,3hop2__89818_850628_4107,What term is used to refer to an institution like a German Fachhochschule in the country where Sint-Katelijne-Waver is located and the country that speaks Dutch?,hogeschool,"[""where are you from if you speak dutch"", ""Sint-Katelijne-Waver >> country""]","[""the Netherlands"", ""Belgium""]","[""Netherlands, Belgium, Suriname, Aruba, Curaçao, Sint Maarten, and other Caribbean islands."", ""Belgium""]"
musique,3hop2__89818_761643_4107,"What term is used in the country where Philippeville is found, as well as the nation where Dutch is spoken, to refer to an institution like a German Fachhochschule?",hogeschool,"[""where are you from if you speak dutch"", ""Philippeville >> country""]","[""the Netherlands"", ""Belgium""]","[""Netherlands, Belgium, Suriname, Aruba, Curaçao, Sint Maarten, and other Caribbean islands."", ""Belgium""]"
musique,3hop2__89818_686301_4107,What term is used in the country where Frietmuseum is located and the country where people speak Dutch to refer to an institution like a German Fachhochschule?,hogeschool,"[""where are you from if you speak dutch"", ""Frietmuseum >> country""]","[""the Netherlands"", ""Belgium""]","[""Netherlands, Belgium, Suriname, Aruba, Curaçao, Sint Maarten"", ""Belgium""]"
musique,3hop2__22027_70123_63115,The art period in which linear perspective was perfected began in which area of the continent Jacobinism affected?,seemingly in Italy,"[""Which continent did Jacobinism affect?"", ""linear perspective was perfected during which art period quizlet""]","[""Europe"", ""the Renaissance""]","[""Europe"", ""Renaissance""]"
musique,3hop2__22516_32417_24628,What year did the voters of the state that Raleigh is a capital of once again vote for the party that dominated South Carolina's state legislature?,2008,"[""What state is Raleigh the capital of?"", ""Which party dominated South Carolina's state legislature?""]","[""North Carolina"", ""Democrat""]","[""North Carolina"", ""Democrat""]"
musique,3hop2__70826_49355_89217,When did the country from which the 13 colonies declared independence take control of the country where the most australopithecus fossils have been found?,1909,"[""where have most fossils of australopithecus been found"", ""who did the 13 colonies declared independence from""]","[""South Africa"", ""Britain""]","[""South Africa and Ethiopia."", ""Great Britain""]"
musique,3hop2__103837_49355_89217,"When did the nation from which the 13 colonies declared independence, take control of the country that Nduduzo Makhathini was from?",1909,"[""Where was Nduduzo Makhathini from?"", ""who did the 13 colonies declared independence from""]","[""South Africa"", ""Britain""]","[""South Africa"", ""Great Britain""]"
musique,3hop2__764770_86841_54023,"When did the first restaurant that the phenomenon of McDonaldization is named after, open in the country that holds the Isle of Wight festival?",1974,"[""McDonaldization >> named after"", ""where is the isle of wight festival held""]","[""McDonald's"", ""England""]","[""McDonald's Corporation"", ""Portsmouth, England""]"
musique,3hop2__29467_132034_73594,What was launched to send Mangalyaan of the country Goa is from to the planet Deuteronilus Mensae is located?,a Polar Satellite Launch Vehicle (PSLV) rocket C25,"[""Where was Goa?"", ""Where is Deuteronilus Mensae found?""]","[""India"", ""Mars""]","[""Indian Ocean"", ""Mars.""]"
musique,3hop2__29467_132160_73594,The country where Goa is located sent Mangalyaan to the planet Olympus Mons is found by launching what?,a Polar Satellite Launch Vehicle (PSLV) rocket C25,"[""Where was Goa?"", ""Where is Olympus Mons found?""]","[""India"", ""Mars""]","[""Indian Ocean"", ""Tharsis Bulge in Mars.""]"
musique,3hop2__29467_132098_73594,What rocket from the country containing Goa launched the probe to the planet containing Ladon Valles?,a Polar Satellite Launch Vehicle (PSLV) rocket C25,"[""Where was Goa?"", ""Where is Ladon Valles found?""]","[""India"", ""Mars""]","[""Indian Ocean"", ""Ladon Valles is located on Mars.""]"
musique,3hop2__29467_132003_73594,What did Goa's country launch to send the mangalyaan to the planet where Arsia Chasmata was found?,a Polar Satellite Launch Vehicle (PSLV) rocket C25,"[""Where was Goa?"", ""Where is Arsia Chasmata found?""]","[""India"", ""Mars""]","[""Indian Ocean"", ""Artsa Chasma, also known as Arsia Chasma, is located in Mars.""]"
musique,3hop1__158950_52935_710419,Who was the spouse of the first president who identified as a member of Barack Obama's party in 2008?,Rachel Jackson,"[""What party did Barack Obama belong to in 2008?"", ""who was the first president identified as a Democrat""]","[""Democrat"", ""Andrew Jackson""]","[""Democratic Party"", ""Andrew Jackson""]"
musique,3hop1__158950_52935_646717,Who is the child of the first president identified in the same party Barack Obama belonged to?,Daniel Smith Donelson,"[""What party did Barack Obama belong to in 2008?"", ""who was the first president identified as a Democrat""]","[""Democrat"", ""Andrew Jackson""]","[""Democratic Party"", ""Andrew Jackson""]"
musique,3hop1__32417_52935_710419,Who was the spouse of the first president identified as a member of the party which dominated South Carolina's state legislature in 1895?,Rachel Jackson,"[""Which party dominated South Carolina's state legislature?"", ""who was the first president identified as a Democrat""]","[""Democrat"", ""Andrew Jackson""]","[""Democrat"", ""Andrew Jackson""]"
musique,3hop1__32417_52935_646717,Who was the child of the first president identified as a candidate from the party that dominated South Carolina's state legislature?,Daniel Smith Donelson,"[""Which party dominated South Carolina's state legislature?"", ""who was the first president identified as a Democrat""]","[""Democrat"", ""Andrew Jackson""]","[""Democrat"", ""Andrew Jackson""]"
musique,3hop1__162189_35178_826724,In what county is Khosrowabad in the capital of the country where Shiraz is?,Pardis County,"[""What nation is Shiraz in?"", ""What city is Iran. 's capital?""]","[""Iran."", ""Tehran""]","[""Iran"", ""Tehran.""]"
musique,3hop1__162189_35178_686699,"In which district is Qaleh Now-e Khaleseh, within the capital of the nation that contains Shiraz, located?",Qaleh Now Rural District,"[""What nation is Shiraz in?"", ""What city is Iran. 's capital?""]","[""Iran."", ""Tehran""]","[""Iran"", ""Tehran.""]"
musique,3hop1__75408_46321_81955,Who explored the mainland of the continent home to the 2002 World Cup winner?,European conquerors,"[""who won the 2002 world cup in japan"", ""Brazil ( is the largest country on which continent""]","[""Brazil ("", ""South America""]","[""Brazil"", ""South America""]"
musique,3hop1__75408_46321_43712,When do purple martins migrate to the continent on which the largest country won the 2002 World Cup in Japan?,winter,"[""who won the 2002 world cup in japan"", ""Brazil ( is the largest country on which continent""]","[""Brazil ("", ""South America""]","[""Brazil"", ""South America""]"
musique,3hop1__75408_46321_93843,When did the continent on which the 2002 World Cup winner is the largest country take the form it has today?,In the last million years since the Late Miocene,"[""who won the 2002 world cup in japan"", ""Brazil ( is the largest country on which continent""]","[""Brazil ("", ""South America""]","[""Brazil"", ""South America""]"
musique,3hop1__75408_46321_93284,When did the continent on which the largest country won the 2002 World Cup in Japan become a collection of independent states?,the first quarter of the 19th century,"[""who won the 2002 world cup in japan"", ""Brazil ( is the largest country on which continent""]","[""Brazil ("", ""South America""]","[""Brazil"", ""South America""]"
musique,3hop1__75408_46321_68345,When was the collision between North America and the continent on which the 2002 World Cup winner is located?,as early as 15 million years ago,"[""who won the 2002 world cup in japan"", ""Brazil ( is the largest country on which continent""]","[""Brazil ("", ""South America""]","[""Brazil"", ""South America""]"
musique,3hop1__75408_46321_87085,Who became known throughout the continent whose largest country won the 2002 world cup as the liberator?,Simón Bolívar,"[""who won the 2002 world cup in japan"", ""Brazil ( is the largest country on which continent""]","[""Brazil ("", ""South America""]","[""Brazil"", ""South America""]"
musique,3hop1__91116_594903_85185,"Who dropped out of the school that employed the writer of The Significance of the Frontier in American History, and became known by many as the founder of public relations?",Basil Clarke,"[""who wrote the significance of the frontier in american history"", ""Frederick Jackson Turner >> employer""]","[""Frederick Jackson Turner"", ""Harvard""]","[""Frederick Jackson Turner"", ""Harvard University""]"
musique,3hop1__37727_37586_81010,On what date was the battle of the state founded by the man who also formed the first Baptist group in what is now the U.S.?,"August 29, 1778","[""Who founded the first Baptist group in what is now the United States?"", ""What colony was Roger Williams the founder of?""]","[""Roger Williams"", ""Rhode Island""]","[""The First Baptist Church of New York was founded by Roger Williams in 1639."", ""Rhode Island""]"
musique,3hop1__37727_37586_224276,Who owns the Interstate 95 in the state that was founded by the first Baptist group in US?,Rhode Island Department of Transportation,"[""Who founded the first Baptist group in what is now the United States?"", ""What colony was Roger Williams the founder of?""]","[""Roger Williams"", ""Rhode Island""]","[""The First Baptist Church of New York was founded by Roger Williams in 1639."", ""Rhode Island""]"
musique,3hop1__37727_37586_91717,"Who is the General Treasurer of Providence Plantations, and the state that was founded by the individual, who started the first Baptist group in what is now the United States?",Seth Magaziner,"[""Who founded the first Baptist group in what is now the United States?"", ""What colony was Roger Williams the founder of?""]","[""Roger Williams"", ""Rhode Island""]","[""The First Baptist Church of New York was founded by Roger Williams in 1639."", ""Rhode Island""]"
