uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
88818,The Dark Tower V: Wolves of the Calla,Stephen King,University of Maine,The author of the novel The Dark Tower V: Wolves of the Calla is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,"As an undergrad, Stephen King attended the university named",University of Maine|University of Maine at Orono|umaine.edu,University of Maine,University of Maine,uguniv of novel's author,novel-author-uguniv
88825,The Dark Tower VII: The Dark Tower,Stephen King,University of Maine,The author of the novel The Dark Tower VII: The Dark Tower is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,"As an undergrad, Stephen King attended the university named",University of Maine|University of Maine at Orono|umaine.edu,University of Maine,University of Maine,uguniv of novel's author,novel-author-uguniv
88826,The Dark Tower VI: Song of Susannah,Stephen King,University of Maine,The author of the novel The Dark Tower VI: Song of Susannah is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,"As an undergrad, Stephen King attended the university named",University of Maine|University of Maine at Orono|umaine.edu,University of Maine,University of Maine,uguniv of novel's author,novel-author-uguniv
88829,The Mist,Stephen King,University of Maine,The author of the novel The Mist is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,"As an undergrad, Stephen King attended the university named",University of Maine|University of Maine at Orono|umaine.edu,University of Maine,University of Maine,uguniv of novel's author,novel-author-uguniv
91045,Vladimir Putin,Saint Petersburg,Russia,The city where Vladimir Putin was born is,Saint Petersburg|St. Petersburg|Petrograd|Leningrad|Petersburg|Sankt-Peterburg|St Petersburg,Leningrad (now Saint Petersburg).,Saint Petersburg,Saint Petersburg is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of person's birthcity,person-birthcity-cntry
91051,Wolfgang Amadeus Mozart,Salzburg,Austria,The city where Wolfgang Amadeus Mozart was born is,"Salzburg|Salzburg, Austria",Salzburg,Salzburg,Salzburg is in the country of,Austria|Republic of Austria|Österreich|Republik Österreich|AT|AUT|🇦🇹,Austria,Austria,cntry of person's birthcity,person-birthcity-cntry
91055,Marilyn Monroe,Los Angeles,United States of America,The city where Marilyn Monroe was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles.,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91060,Lionel Messi,Rosario,Argentina,The city where Lionel Messi was born is,Rosario|Rosario de Santa Fe,"Rosario, Argentina.",Rosario,Rosario is in the country of,Argentina|🇦🇷|ARG|Arjentina|AR|Argentine Republic|Republic of Argentina,Argentina,Argentina,cntry of person's birthcity,person-birthcity-cntry
91071,Beyoncé,Houston,United States of America,The city where Beyoncé was born is,"Houston|Houston, Texas|Space City|H-Town|City of Houston|USHOU|Houston, TX|Houston TX",Houston.,Houston,Houston is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91072,Angelina Jolie,Los Angeles,United States of America,The city where Angelina Jolie was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91073,Kim Jong-un,Pyongyang,North Korea,The city where Kim Jong-un was born is,Pyongyang|Capital of Revolution|Ryugyong,Pyongyang.,Pyongyang,Pyongyang is in the country of,North Korea|🇰🇵|PRK|kp|Kore Demokratik Halk Cumhuriyeti|KDHC|Dem. Kore Cumhuriyeti|Kuzey Kore|Democratic People's Republic of Korea|DPRK|N. Korea|DPR Korea,North Korea,North Korea,cntry of person's birthcity,person-birthcity-cntry
91075,Roger Federer,Basel,Switzerland,The city where Roger Federer was born is,Basel|Basle|Basel BS|Bâle,"Basel, Switzerland.",Basel,Basel is in the country of,Switzerland|Swiss Confederation|SUI|Swiss|CHE|CH|Confoederatio Helvetica,Switzerland,Switzerland,cntry of person's birthcity,person-birthcity-cntry
91078,Novak Djokovic,Belgrade,Serbia,The city where Novak Djokovic was born is,"Belgrade|City of Belgrade|Belgrade, Serbia|Beograd|Београд",Belgrade,Belgrade,Belgrade is in the country of,Serbia|Republic of Serbia|Republika Srbija|Srbija|SRB|RS,Serbia,Serbia,cntry of person's birthcity,person-birthcity-cntry
91094,Will Smith,Philadelphia,United States of America,The city where Will Smith was born is,"Philadelphia|Philly|City of Brotherly Love|Cradle of Liberty|Philadelphia, Pennsylvania|City of Philadelphia|Philadelphia, PA|Philadelphia, Pa.",Philadelphia,Philadelphia,Philadelphia is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91098,Sophia Loren,Rome,Italy,The city where Sophia Loren was born is,"Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of person's birthcity,person-birthcity-cntry
91101,Michelle Obama,Chicago,United States of America,The city where Michelle Obama was born is,"Chicago|Chicago, Illinois|The Windy City|City by the Lake|The Queen of the West|Chi-Town|Chitown|The Second City|City of Chicago|City of Broad Shoulders|Chi-Raq|Chicago, IL",Chicago.,Chicago,Chicago is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91124,Felipe VI of Spain,Madrid,Spain,The city where Felipe VI of Spain was born is,"Madrid|Madrid, Spain",Madrid,Madrid,Madrid is in the country of,Spain|Kingdom of Spain|ES|ESP|🇪🇸,Spain,Spain,cntry of person's birthcity,person-birthcity-cntry
91135,Paris Hilton,New York City,United States of America,The city where Paris Hilton was born is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91138,Yukio Mishima,Tokyo,Japan,The city where Yukio Mishima was born is,Tokyo|City of Tokyo,Tokyo,Tokyo,Tokyo is in the country of,Japan|State of Japan|Land of the Rising Sun|Nihon|Nippon|JP|Nippon-koku|Nihon-koku|JPN|JAP|JA|🇯🇵|Iapan|Iapon|Land of Rising Sun,Japan,Japan,cntry of person's birthcity,person-birthcity-cntry
91142,Michael Phelps,Baltimore,United States of America,The city where Michael Phelps was born is,"Baltimore|Baltimore, Maryland|City of Baltimore|Baltimore City|Charm City|B more|Bmore|Baltimore, MD|Balt.|BAL|B'more",Baltimore.,Baltimore,Baltimore is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91145,Björk,Reykjavík,Iceland,The city where Björk was born is,Reykjavík|Reykjavik|Reykjavíkurborg|Reykjavikurborg,Reykjavik,Reykjavík,Reykjavík is in the country of,Iceland|Republic of Iceland|is|Island|🇮🇸|ISL|Ysland,Iceland,Iceland,cntry of person's birthcity,person-birthcity-cntry
91149,Prince,Minneapolis,United States of America,The city where Prince was born is,"Minneapolis|Minneapolis, Minnesota|Minneapolis, MN",Minneapolis.,Minneapolis,Minneapolis is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91158,Andre Agassi,Las Vegas,United States of America,The city where Andre Agassi was born is,"Las Vegas|Vegas|Las Vegas, Nevada|Sin City|City of Las Vegas|Las Vegas, NV|The Entertainment Capital of the World Sin City",Las Vegas,Las Vegas,Las Vegas is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91167,Chris Hemsworth,Melbourne,Australia,The city where Chris Hemsworth was born is,"Melbourne|Melbourne, Victoria|Melbourne, Australia|Greater Melbourne|Melbourne, AUS|Naarm|Melbourne, Victoria, Australia|Melbourne, VIC|Melbourne, VIC, Australia|Narrm",Melbourne.,Melbourne,Melbourne is in the country of,Australia|Commonwealth of Australia|AU|AUS|🇦🇺|Straya|Aussieland|Oz|Stralia|New Holland|New Hollandia|Nova Hollandia|Down Under,Australia,Australia,cntry of person's birthcity,person-birthcity-cntry
91179,Bono,Dublin,Republic of Ireland,The city where Bono was born is,"Dublin|Dublin city|City of Dublin|Baile Átha Cliath|Dublin, Ireland",Dublin.,Dublin,Dublin is in the country of,"Republic of Ireland|Éire|IE|IRL|Hibernia|Ireland, Republic of|🇮🇪|Eire|Southern Ireland|Ireland (state)|Ireland",Ireland,Ireland,cntry of person's birthcity,person-birthcity-cntry
91183,Romelu Lukaku,Antwerp,Belgium,The city where Romelu Lukaku was born is,Antwerp|City of Antwerp|Anvers|Antwerpen,Antwerp.,Antwerp,Antwerp is in the country of,Belgium|Kingdom of Belgium|BEL|be|🇧🇪|Koninkrijk België|Royaume de Belgique|Königreich Belgien|Belgien,Belgium,Belgium,cntry of person's birthcity,person-birthcity-cntry
91185,Pierre Trudeau,Montreal,Canada,The city where Pierre Trudeau was born is,"Montreal|Montréal|City of Montreal|Ville de Montréal|Ville de Montreal|Montreal, Quebec|Montreal, Canada",Montreal.,Montreal,Montreal is in the country of,Canada|CAN|CA,Canada,Canada,cntry of person's birthcity,person-birthcity-cntry
91204,Paolo Maldini,Milan,Italy,The city where Paolo Maldini was born is,"Milan|Milano|Milano, Italy|Milan, Italy|Mailand",Milan.,Milan,Milan is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of person's birthcity,person-birthcity-cntry
91206,Sachin Tendulkar,Mumbai,India,The city where Sachin Tendulkar was born is,Mumbai|Bombay,Mumbai.,Mumbai,Mumbai is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91211,Ethan Hawke,Austin,United States of America,The city where Ethan Hawke was born is,"Austin|Austin, Texas|Austin, TX","Austin, Texas.",Austin,Austin is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91213,Kajol,Mumbai,India,The city where Kajol was born is,Mumbai|Bombay,Mumbai,Mumbai,Mumbai is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91223,Constantine II of Greece,Athens,Greece,The city where Constantine II of Greece was born is,Athens|Athens city,Athens,Athens,Athens is in the country of,Greece|Hellenic Republic|Hellas|gr|el|🇬🇷|Greek Republic|GRE|Ellada|Greek,Greece,Greece,cntry of person's birthcity,person-birthcity-cntry
91228,Shraddha Kapoor,Mumbai,India,The city where Shraddha Kapoor was born is,Mumbai|Bombay,Mumbai.,Mumbai,Mumbai is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91235,Ana Ivanovic,Belgrade,Serbia,The city where Ana Ivanovic was born is,"Belgrade|City of Belgrade|Belgrade, Serbia|Beograd|Београд",Belgrade,Belgrade,Belgrade is in the country of,Serbia|Republic of Serbia|Republika Srbija|Srbija|SRB|RS,Serbia,Serbia,cntry of person's birthcity,person-birthcity-cntry
91245,Kylie Jenner,Los Angeles,United States of America,The city where Kylie Jenner was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91252,Jeffrey Dahmer,Milwaukee,United States of America,The city where Jeffrey Dahmer was born is,"Milwaukee|Milwaukee, Wisconsin|Milwaukee City, Wisconsin|Milwaükee|Milwaukee, WI",Milwaukee.,Milwaukee,Milwaukee is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91254,Laura Dern,Los Angeles,United States of America,The city where Laura Dern was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91253,Billy Joel,New York City,United States of America,The city where Billy Joel was born is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe","Harrison, New York.",New York,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91276,Tomáš Rosický,Prague,Czech Republic,The city where Tomáš Rosický was born is,Prague|Praha|Hlavní město Praha|City of Prague,Praha,Praha,Prague is in the country of,Czech Republic|CZR|Česko|Česká republika|ČR|CZE|CZ|Czechia,Czech Republic,Czech Republic,cntry of person's birthcity,person-birthcity-cntry
91278,Kasper Schmeichel,Copenhagen,Denmark,The city where Kasper Schmeichel was born is,"Copenhagen|København|CPH|Köpenhamn|Kööpenhamina|Kopenhagen|Kobenhavn|Köbenhavn|Hafnia|Hafn|Havn|Copenhagen, Denmark|Kjöb|Kjöb.|Kjöbenhavn",Copenhagen,Copenhagen,Copenhagen is in the country of,Denmark|DK|Danmark|DNK|DEK|🇩🇰|DEN|TAN|Denmark proper|metropolitan Denmark,Denmark,Denmark,cntry of person's birthcity,person-birthcity-cntry
91282,Liam Hemsworth,Melbourne,Australia,The city where Liam Hemsworth was born is,"Melbourne|Melbourne, Victoria|Melbourne, Australia|Greater Melbourne|Melbourne, AUS|Naarm|Melbourne, Victoria, Australia|Melbourne, VIC|Melbourne, VIC, Australia|Narrm",Melbourne,Melbourne,Melbourne is in the country of,Australia|Commonwealth of Australia|AU|AUS|🇦🇺|Straya|Aussieland|Oz|Stralia|New Holland|New Hollandia|Nova Hollandia|Down Under,Australia,Australia,cntry of person's birthcity,person-birthcity-cntry
91287,Chris Cornell,Seattle,United States of America,The city where Chris Cornell was born is,"Seattle|Seattle, Washington|Seattle, WA|Duwamps|New York Alki",Seattle,Seattle,Seattle is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91289,Julia Stiles,New York City,United States of America,The city where Julia Stiles was born is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91303,Khloé Kardashian,Los Angeles,United States of America,The city where Khloé Kardashian was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91329,Agnieszka Radwańska,Kraków,Poland,The city where Agnieszka Radwańska was born is,Kraków|Cracow|Krakow|Royal City of Kraków|Royal Capital City of Kraków|Krakau|Kroke|Cracovie|Cracovia|Krakov|Krakiv|Krakkó|Krakova|Krako|Krakoy|Krakuv,Krakow,Kraków,Kraków is in the country of,Poland|POL|Republic of Poland|PL|Polska|🇵🇱,Poland,Poland,cntry of person's birthcity,person-birthcity-cntry
91333,Uwe Seeler,Hamburg,Germany,The city where Uwe Seeler was born is,"Hamburg|Free and Hanseatic City of Hamburg|Hamburg, Germany|Hamburg, Freie und Hansestadt",Hamburg,Hamburg,Hamburg is in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,cntry of person's birthcity,person-birthcity-cntry
91332,Eiður Guðjohnsen,Reykjavík,Iceland,The city where Eiður Guðjohnsen was born is,Reykjavík|Reykjavik|Reykjavíkurborg|Reykjavikurborg,Reykjavik,Reykjavík,Reykjavík is in the country of,Iceland|Republic of Iceland|is|Island|🇮🇸|ISL|Ysland,Iceland,Iceland,cntry of person's birthcity,person-birthcity-cntry
91334,Christian Vieri,Bologna,Italy,The city where Christian Vieri was born is,"Bologna|Bologna, Italy",Bologna.,Bologna,Bologna is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of person's birthcity,person-birthcity-cntry
91338,Kourtney Kardashian,Los Angeles,United States of America,The city where Kourtney Kardashian was born is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91342,Carlos Sainz Jr.,Madrid,Spain,The city where Carlos Sainz Jr. was born is,"Madrid|Madrid, Spain",Madrid,Madrid,Madrid is in the country of,Spain|Kingdom of Spain|ES|ESP|🇪🇸,Spain,Spain,cntry of person's birthcity,person-birthcity-cntry
91350,Domhnall Gleeson,Dublin,Republic of Ireland,The city where Domhnall Gleeson was born is,"Dublin|Dublin city|City of Dublin|Baile Átha Cliath|Dublin, Ireland",Dublin,Dublin,Dublin is in the country of,"Republic of Ireland|Éire|IE|IRL|Hibernia|Ireland, Republic of|🇮🇪|Eire|Southern Ireland|Ireland (state)|Ireland",Ireland,Ireland,cntry of person's birthcity,person-birthcity-cntry
91355,Kim Soo-hyun,Seoul,South Korea,The city where Kim Soo-hyun was born is,Seoul|Seoul City|Sŏul T'ŭkpyŏlsi|Wiryeseong|Namgyeong|Hanseong|Hanyang|Keijō|Keijou|Gyeongseong,Seoul,Seoul,Seoul is in the country of,South Korea|Republic of Korea|ROK|kr|Rep. Korea|S. Korea|Korea Republic|🇰🇷|KOR|Hanguk|Daehan Minguk|Daehanminguk|SK|Korea (South),South Korea,South Korea,cntry of person's birthcity,person-birthcity-cntry
91360,Rafinha,São Paulo,Brazil,The city where Rafinha was born is,São Paulo|Sao Paulo|São Paulo city,São Paulo.,São Paulo,São Paulo is in the country of,Brazil|Federative Republic of Brazil|BR|BRA|🇧🇷|Brasil,Brazil,Brazil,cntry of person's birthcity,person-birthcity-cntry
91361,Magda Goebbels,Berlin,Germany,The city where Magda Goebbels was born is,"Berlin|Berlin, Germany|Berlin (Germany)|DE-BE",Berlin,Berlin,Berlin is in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,cntry of person's birthcity,person-birthcity-cntry
91366,Asia Argento,Rome,Italy,The city where Asia Argento was born is,"Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of person's birthcity,person-birthcity-cntry
91377,Jonas Gahr Støre,Oslo,Norway,The city where Jonas Gahr Støre was born is,"Oslo|Christiania|Kristiania|NOOSL|Oslo, Norway",Oslo,Oslo,Oslo is in the country of,Norway|Kingdom of Norway|NO|NOR|🇳🇴,Norway,Norway,cntry of person's birthcity,person-birthcity-cntry
91397,Dušan Petković,Belgrade,Serbia,The city where Dušan Petković was born is,"Belgrade|City of Belgrade|Belgrade, Serbia|Beograd|Београд",Belgrade,Belgrade,Belgrade is in the country of,Serbia|Republic of Serbia|Republika Srbija|Srbija|SRB|RS,Serbia,Serbia,cntry of person's birthcity,person-birthcity-cntry
91400,Leander Paes,Kolkata,India,The city where Leander Paes was born is,Kolkata|Calcutta|City of Palaces|City of Processions|City of Joy,Kolkata.,Kolkata,Kolkata is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91407,Esha Deol,Mumbai,India,The city where Esha Deol was born is,Mumbai|Bombay,Mumbai.,Mumbai,Mumbai is in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,cntry of person's birthcity,person-birthcity-cntry
91413,Tommy Haas,Hamburg,Germany,The city where Tommy Haas was born is,"Hamburg|Free and Hanseatic City of Hamburg|Hamburg, Germany|Hamburg, Freie und Hansestadt",Hamburg,Hamburg,Hamburg is in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,cntry of person's birthcity,person-birthcity-cntry
91415,Infanta Cristina of Spain,Madrid,Spain,The city where Infanta Cristina of Spain was born is,"Madrid|Madrid, Spain",Madrid,Madrid,Madrid is in the country of,Spain|Kingdom of Spain|ES|ESP|🇪🇸,Spain,Spain,cntry of person's birthcity,person-birthcity-cntry
91423,Gavin Newsom,San Francisco,United States of America,The city where Gavin Newsom was born is,"San Francisco|San Francisco, California|The City by the Bay|SF|SFO|The Golden City|Paris of the West|Baghdad by the Bay|San Francisco County|San Francisco County, California|San Fran|Frisco|City and County of San Francisco|San Francisco, CA",San Francisco,San Francisco,San Francisco is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
91429,Vladimír Weiss,Bratislava,Slovakia,The city where Vladimír Weiss was born is,Bratislava|Pressburg|Pozsony|Presburg,Bratislava,Bratislava,Bratislava is in the country of,Slovakia|Slovak Republic|sk|🇸🇰|SVK|Slovakia (Slovak Republic),Slovakia,Slovakia,cntry of person's birthcity,person-birthcity-cntry
91446,Kjetil André Aamodt,Oslo,Norway,The city where Kjetil André Aamodt was born is,"Oslo|Christiania|Kristiania|NOOSL|Oslo, Norway",Oslo,Oslo,Oslo is in the country of,Norway|Kingdom of Norway|NO|NOR|🇳🇴,Norway,Norway,cntry of person's birthcity,person-birthcity-cntry
91451,John Carradine,New York City,United States of America,The city where John Carradine was born is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of person's birthcity,person-birthcity-cntry
